# Lee & Moser (2015), J. Fluid Mech. 774, 395-415
# Downloaded from https://turbulence.oden.utexas.edu/channel2015/data/LM_Channel_0550_mean_prof.dat
#                 https://turbulence.oden.utexas.edu/channel2015/data/LM_Channel_0550_vel_fluc_prof.dat
# Actual Re_tau = 543.496
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
0.000000e+00,0.000000e+00,0.000000e+00,1.458397e-34,2.948179e-34,0.000000e+00,0.000000e+00
4.960055e-06,2.695770e-03,2.695764e-03,1.189617e-06,4.932175e-07,7.394295e-15,-1.910621e-11
2.479993e-05,1.347866e-02,1.347850e-02,2.973260e-05,1.229710e-05,4.606104e-12,-2.390467e-09
6.943836e-05,3.773947e-02,3.773816e-02,2.329725e-04,9.582685e-05,2.810219e-10,-5.258512e-08
1.487924e-04,8.086806e-02,8.086203e-02,1.068751e-03,4.353315e-04,5.847957e-09,-5.193396e-07
2.727765e-04,1.482530e-01,1.482326e-01,3.587133e-03,1.439054e-03,6.472733e-08,-3.218549e-06
4.513023e-04,2.452810e-01,2.452248e-01,9.801308e-03,3.846873e-03,4.710549e-07,-1.469549e-05
6.942775e-04,3.773371e-01,3.772010e-01,2.314368e-02,8.817707e-03,2.536207e-06,-5.407365e-05
1.006645e-03,5.471077e-01,5.468097e-01,4.852522e-02,1.779856e-02,1.065723e-05,-1.669254e-04
1.388384e-03,7.545812e-01,7.539745e-01,9.203142e-02,3.223618e-02,3.627450e-05,-4.440631e-04
1.839467e-03,9.997430e-01,9.985649e-01,1.609979e-01,5.344273e-02,1.040465e-04,-1.047145e-03
2.359863e-03,1.282576e+00,1.280354e+00,2.638852e-01,8.243182e-02,2.597401e-04,-2.238388e-03
2.949536e-03,1.603061e+00,1.598949e+00,4.100007e-01,1.197965e-01,5.785909e-04,-4.409901e-03
3.608445e-03,1.961175e+00,1.953692e+00,6.089520e-01,1.656427e-01,1.172373e-03,-8.104209e-03
4.336544e-03,2.356894e+00,2.343530e+00,8.697229e-01,2.195859e-01,2.193388e-03,-1.401441e-02
5.133782e-03,2.790190e+00,2.766863e+00,1.199344e+00,2.808094e-01,3.834105e-03,-2.295231e-02
