# Moser, Kim & Mansour (1999), Phys. Fluids 11(4), 943-945
# Downloaded from https://turbulence.oden.utexas.edu/data/MKM/chan180/profiles/chan180.means
#                 https://turbulence.oden.utexas.edu/data/MKM/chan180/profiles/chan180.reystress
# Actual Re_tau = 178.12
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
0.000000e+00,0.000000e+00,0.000000e+00,2.535200e-28,2.700300e-28,3.349100e-29,-5.800900e-31
3.011800e-04,5.364800e-02,5.363900e-02,3.804600e-04,1.110600e-04,6.469500e-10,-1.112000e-07
1.204500e-03,2.145600e-01,2.144300e-01,6.073000e-03,1.710000e-03,1.582100e-07,-7.190300e-06
2.709500e-03,4.826300e-01,4.819700e-01,3.064100e-02,8.129200e-03,3.759800e-06,-8.323700e-05
4.815300e-03,8.577100e-01,8.555500e-01,9.644000e-02,2.357500e-02,3.383700e-05,-4.769600e-04
7.520500e-03,1.339600e+00,1.333900e+00,2.341700e-01,5.169600e-02,1.768300e-04,-1.853800e-03
1.082300e-02,1.927900e+00,1.914800e+00,4.812800e-01,9.441500e-02,6.500800e-04,-5.597400e-03
1.472200e-02,2.622400e+00,2.593900e+00,8.769000e-01,1.513900e-01,1.865000e-03,-1.405100e-02
1.921500e-02,3.422600e+00,3.363200e+00,1.450800e+00,2.202900e-01,4.448800e-03,-3.043700e-02
2.429800e-02,4.328000e+00,4.209500e+00,2.206500e+00,2.976300e-01,9.204700e-03,-5.818700e-02
2.996900e-02,5.338100e+00,5.113300e+00,3.107400e+00,3.799900e-01,1.702300e-02,-9.974600e-02
3.622400e-02,6.452300e+00,6.049300e+00,4.076200e+00,4.646800e-01,2.877700e-02,-1.553700e-01
4.306000e-02,7.670000e+00,6.989200e+00,5.013600e+00,5.499000e-01,4.522800e-02,-2.226500e-01
5.047200e-02,8.990200e+00,7.905200e+00,5.826100e+00,6.342900e-01,6.695200e-02,-2.970200e-01
5.845600e-02,1.041200e+01,8.774100e+00,6.449500e+00,7.164700e-01,9.428100e-02,-3.730400e-01
6.700700e-02,1.193600e+01,9.579000e+00,6.856600e+00,7.949400e-01,1.272400e-01,-4.456600e-01
7.612000e-02,1.355900e+01,1.031100e+01,7.053100e+00,8.682900e-01,1.655100e-01,-5.111500e-01
8.579000e-02,1.528100e+01,1.096700e+01,7.065500e+00,9.351600e-01,2.084200e-01,-5.673800e-01
9.601100e-02,1.710200e+01,1.155000e+01,6.930300e+00,9.941700e-01,2.549800e-01,-6.135900e-01
1.067800e-01,1.901900e+01,1.206600e+01,6.686400e+00,1.044300e+00,3.039600e-01,-6.500800e-01
1.180800e-01,2.103300e+01,1.252000e+01,6.369800e+00,1.085300e+00,3.539800e-01,-6.777800e-01
1.299100e-01,2.314100e+01,1.292100e+01,6.011500e+00,1.117600e+00,4.036200e-01,-6.978600e-01
1.422700e-01,2.534200e+01,1.327600e+01,5.637300e+00,1.142100e+00,4.516300e-01,-7.114800e-01
1.551500e-01,2.763500e+01,1.359000e+01,5.266000e+00,1.159700e+00,4.969800e-01,-7.196100e-01
1.685300e-01,3.001900e+01,1.387000e+01,4.909300e+00,1.171900e+00,5.388000e-01,-7.230800e-01
1.824200e-01,3.249200e+01,1.412100e+01,4.573000e+00,1.179500e+00,5.763900e-01,-7.226100e-01
1.967900e-01,3.505300e+01,1.434900e+01,4.261500e+00,1.182200e+00,6.091900e-01,-7.189400e-01
2.116500e-01,3.770100e+01,1.455700e+01,3.976400e+00,1.179700e+00,6.368600e-01,-7.127200e-01
2.269900e-01,4.043200e+01,1.475000e+01,3.715700e+00,1.172000e+00,6.593000e-01,-7.043700e-01
2.427900e-01,4.324700e+01,1.493100e+01,3.478900e+00,1.159300e+00,6.765200e-01,-6.943400e-01
2.590500e-01,4.614300e+01,1.510100e+01,3.265800e+00,1.142000e+00,6.886700e-01,-6.830100e-01
2.757500e-01,4.911800e+01,1.526400e+01,3.073800e+00,1.121200e+00,6.961300e-01,-6.704700e-01
2.928900e-01,5.217100e+01,1.541900e+01,2.899400e+00,1.098800e+00,6.992800e-01,-6.567700e-01
3.104600e-01,5.530000e+01,1.556900e+01,2.740900e+00,1.075600e+00,6.985400e-01,-6.419800e-01
3.284400e-01,5.850300e+01,1.571400e+01,2.597800e+00,1.051800e+00,6.944400e-01,-6.262800e-01
3.468300e-01,6.177800e+01,1.585500e+01,2.468700e+00,1.028300e+00,6.874400e-01,-6.098100e-01
3.656100e-01,6.512300e+01,1.599300e+01,2.349500e+00,1.005400e+00,6.780200e-01,-5.925200e-01
3.847700e-01,6.853600e+01,1.612800e+01,2.239000e+00,9.821600e-01,6.667500e-01,-5.745700e-01
4.043000e-01,7.201600e+01,1.626000e+01,2.137600e+00,9.571400e-01,6.542900e-01,-5.562000e-01
4.241900e-01,7.555900e+01,1.638900e+01,2.043800e+00,9.296200e-01,6.413100e-01,-5.374700e-01
4.444300e-01,7.916400e+01,1.651500e+01,1.956600e+00,9.006000e-01,6.281700e-01,-5.185400e-01
4.650000e-01,8.282800e+01,1.663700e+01,1.875100e+00,8.713700e-01,6.148700e-01,-4.994700e-01
4.859000e-01,8.655000e+01,1.675600e+01,1.799300e+00,8.414300e-01,6.012200e-01,-4.802000e-01
5.071000e-01,9.032700e+01,1.687200e+01,1.727800e+00,8.097200e-01,5.870300e-01,-4.606200e-01
5.286000e-01,9.415700e+01,1.698500e+01,1.657800e+00,7.762700e-01,5.722100e-01,-4.406000e-01
5.503900e-01,9.803700e+01,1.709400e+01,1.588900e+00,7.425000e-01,5.567800e-01,-4.201500e-01
5.724400e-01,1.019700e+02,1.720000e+01,1.520900e+00,7.096700e-01,5.409000e-01,-3.993400e-01
5.947600e-01,1.059400e+02,1.730200e+01,1.452400e+00,6.783200e-01,5.249300e-01,-3.781800e-01
6.173200e-01,1.099600e+02,1.740000e+01,1.383400e+00,6.478900e-01,5.091700e-01,-3.566400e-01
6.401000e-01,1.140200e+02,1.749400e+01,1.315200e+00,6.178000e-01,4.937100e-01,-3.348300e-01
6.631100e-01,1.181200e+02,1.758500e+01,1.249000e+00,5.880100e-01,4.786700e-01,-3.128700e-01
6.863200e-01,1.222500e+02,1.767200e+01,1.185200e+00,5.584200e-01,4.642100e-01,-2.906600e-01
7.097200e-01,1.264200e+02,1.775600e+01,1.122700e+00,5.292100e-01,4.505000e-01,-2.681700e-01
7.332900e-01,1.306200e+02,1.783500e+01,1.061600e+00,5.008000e-01,4.375900e-01,-2.455700e-01
7.570200e-01,1.348400e+02,1.791100e+01,1.002600e+00,4.739200e-01,4.255000e-01,-2.229900e-01
7.809000e-01,1.391000e+02,1.798100e+01,9.462500e-01,4.493900e-01,4.143600e-01,-2.006600e-01
8.049100e-01,1.433700e+02,1.804500e+01,8.931600e-01,4.274600e-01,4.044400e-01,-1.786500e-01
8.290400e-01,1.476700e+02,1.810300e+01,8.434800e-01,4.082000e-01,3.959500e-01,-1.567600e-01
8.532700e-01,1.519900e+02,1.815400e+01,7.978700e-01,3.918600e-01,3.890000e-01,-1.347000e-01
8.775900e-01,1.563200e+02,1.819800e+01,7.576100e-01,3.785100e-01,3.836000e-01,-1.124100e-01
9.019800e-01,1.606600e+02,1.823500e+01,7.236200e-01,3.677200e-01,3.796600e-01,-8.999300e-02
9.264400e-01,1.650200e+02,1.826400e+01,6.965400e-01,3.592100e-01,3.770200e-01,-6.758200e-02
9.509300e-01,1.693800e+02,1.828500e+01,6.772600e-01,3.528800e-01,3.754200e-01,-4.513100e-02
9.754600e-01,1.737500e+02,1.829700e+01,6.661500e-01,3.487600e-01,3.746000e-01,-2.261200e-02
1.000000e+00,1.781200e+02,1.830100e+01,6.625600e-01,3.472700e-01,3.743600e-01,0.000000e+00
