# Moser, Kim & Mansour (1999), Phys. Fluids 11(4), 943-945
# Numerical method: Kim, Moin & Moser, 1987, J. Fluid Mech. vol 177, 133-166
# Downloaded from https://turbulence.oden.utexas.edu/data/MKM/chan395/profiles/chan395.means
#                 https://turbulence.oden.utexas.edu/data/MKM/chan395/profiles/chan395.reystress
#   (read from the bundle https://turbulence.oden.utexas.edu/data/MKM/chandata.tar.gz)
# Actual Re_tau = 392.24
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: reference R_vv (wall-normal) -> ww,
# reference R_ww (spanwise) -> vv, reference R_uv -> uw.
# Normalised by u_tau (stresses by u_tau^2).
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
0.000000e+00,0.000000e+00,0.000000e+00,5.337600e-28,5.957500e-28,4.901800e-29,1.120600e-30
7.529800e-05,2.953500e-02,2.953800e-02,1.368400e-04,5.294300e-05,9.473400e-11,-2.441400e-08
3.011800e-04,1.181400e-01,1.181100e-01,2.182800e-03,8.271500e-04,2.360300e-08,-1.572800e-06
6.776200e-04,2.657900e-01,2.656200e-01,1.102000e-02,4.039200e-03,5.787800e-07,-1.811300e-05
1.204500e-03,4.724800e-01,4.719800e-01,3.471800e-02,1.214700e-02,5.440000e-06,-1.032400e-04
1.881900e-03,7.381600e-01,7.370100e-01,8.445400e-02,2.785200e-02,3.001400e-05,-4.002700e-04
2.709500e-03,1.062800e+00,1.060500e+00,1.743800e-01,5.356400e-02,1.175600e-04,-1.214300e-03
3.687400e-03,1.446400e+00,1.441700e+00,3.212300e-01,9.094700e-02,3.620400e-04,-3.100900e-03
4.815300e-03,1.888800e+00,1.879900e+00,5.433600e-01,1.406200e-01,9.320300e-04,-6.948600e-03
6.093000e-03,2.390000e+00,2.372900e+00,8.585100e-01,2.020900e-01,2.087900e-03,-1.401500e-02
7.520500e-03,2.949900e+00,2.917700e+00,1.280200e+00,2.738400e-01,4.185200e-03,-2.585800e-02
9.097400e-03,3.568400e+00,3.509300e+00,1.813200e+00,3.536900e-01,7.661000e-03,-4.413500e-02
1.082300e-02,4.245500e+00,4.140900e+00,2.449000e+00,4.391900e-01,1.300500e-02,-7.027600e-02
