# Vreman & Kuerten, finite-difference 512x256x256
# Vreman & Kuerten, 'Comparison of DNS databases of turbulent
#   channel flow at Re_tau=180', Phys. Fluids 26, 015102 (2014)
# Downloaded from http://www.vremanresearch.nl/Chan180_FD2_basic_[uvw].txt
# Domain 4pi x 2 x 4pi/3, computed u_tau = 0.99996
# Actual Re_tau = 180.0
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: their v (wall-normal) -> ww,
# their w (spanwise) -> vv, their <u'v'> -> uw.
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
1.341640e-03,2.414952e-01,2.413346e-01,7.886048e-03,2.169124e-03,3.811621e-06,-8.827397e-05
4.064140e-03,7.315452e-01,7.299975e-01,7.204688e-02,1.779249e-02,5.486601e-05,-7.379486e-04
6.839662e-03,1.231139e+00,1.226479e+00,2.032421e-01,4.510616e-02,2.519169e-04,-2.596404e-03
9.669087e-03,1.740436e+00,1.730229e+00,4.038956e-01,8.078790e-02,7.239867e-04,-6.366193e-03
1.255330e-02,2.259594e+00,2.240293e+00,6.746507e-01,1.221806e-01,1.609959e-03,-1.273804e-02
1.549321e-02,2.788777e+00,2.755293e+00,1.013285e+00,1.671893e-01,3.045259e-03,-2.231481e-02
1.848970e-02,3.328146e+00,3.273439e+00,1.414031e+00,2.142060e-01,5.153857e-03,-3.554311e-02
2.154370e-02,3.877866e+00,3.792594e+00,1.867490e+00,2.620433e-01,8.044070e-03,-5.266590e-02
2.465613e-02,4.438103e+00,4.310360e+00,2.361169e+00,3.098671e-01,1.180697e-02,-7.370301e-02
2.782790e-02,5.009022e+00,4.824194e+00,2.880483e+00,3.571274e-01,1.651645e-02,-9.845903e-02
3.105996e-02,5.590793e+00,5.331529e+00,3.409998e+00,4.034909e-01,2.223019e-02,-1.265535e-01
3.435324e-02,6.183584e+00,5.829886e+00,3.934657e+00,4.487781e-01,2.899109e-02,-1.574648e-01
3.770869e-02,6.787565e+00,6.316974e+00,4.440809e+00,4.929094e-01,3.682865e-02,-1.905804e-01
4.112726e-02,7.402908e+00,6.790762e+00,4.916929e+00,5.358621e-01,4.576026e-02,-2.252459e-01
4.460991e-02,8.029784e+00,7.249538e+00,5.354009e+00,5.776375e-01,5.579214e-02,-2.608079e-01
4.815760e-02,8.668368e+00,7.691929e+00,5.745661e+00,6.182392e-01,6.692002e-02,-2.966488e-01
5.177129e-02,9.318833e+00,8.116909e+00,6.087977e+00,6.576595e-01,7.912953e-02,-3.322121e-01
5.545196e-02,9.981353e+00,8.523789e+00,6.379243e+00,6.958742e-01,9.239646e-02,-3.670177e-01
