# Vreman & Kuerten, spectral 384x193x192
# Vreman & Kuerten, 'Comparison of DNS databases of turbulent
#   channel flow at Re_tau=180', Phys. Fluids 26, 015102 (2014)
# Downloaded from http://www.vremanresearch.nl/Chan180_S2_basic_[uvw].txt
# Domain 4pi x 2 x 4pi/3, computed u_tau = 0.9999
# Actual Re_tau = 180.0
# Closed channel, lower half (z/delta = 0..1). Reynolds stresses are
# REMAPPED to torChannel axes: their v (wall-normal) -> ww,
# their w (spanwise) -> vv, their <u'v'> -> uw.
z_delta,z_plus,U_plus,uu_plus,vv_plus,ww_plus,uw_plus
0.000000e+00,0.000000e+00,1.364481e-14,1.000200e-20,1.000200e-20,1.000200e-20,-5.421131e-34
1.338621e-04,2.409518e-02,2.409100e-02,7.894158e-05,2.293859e-05,2.619676e-11,-1.043699e-08
5.354125e-04,9.637425e-02,9.633819e-02,1.261822e-03,3.607164e-04,6.570979e-09,-6.706734e-07
1.204544e-03,2.168179e-01,2.166638e-01,6.378336e-03,1.774699e-03,1.628164e-07,-7.690540e-06
2.141077e-03,3.853938e-01,3.849361e-01,2.012036e-02,5.391544e-03,1.551746e-06,-4.360220e-05
3.344761e-03,6.020569e-01,6.009609e-01,4.901387e-02,1.251972e-02,8.711607e-06,-1.681395e-04
4.815273e-03,8.667492e-01,8.644610e-01,1.013778e-01,2.444369e-02,3.484102e-05,-5.079595e-04
6.552221e-03,1.179400e+00,1.175032e+00,1.872272e-01,4.222990e-02,1.098901e-04,-1.295198e-03
8.555139e-03,1.539925e+00,1.532064e+00,3.180189e-01,6.657327e-02,2.905292e-04,-2.911033e-03
1.082349e-02,1.948228e+00,1.934612e+00,5.060658e-01,9.770488e-02,6.698933e-04,-5.924672e-03
1.335667e-02,2.404200e+00,2.381220e+00,7.634103e-01,1.353725e-01,1.384530e-03,-1.111125e-02
1.615399e-02,2.907719e+00,2.869690e+00,1.100012e+00,1.788958e-01,2.616382e-03,-1.942799e-02
1.921472e-02,3.458650e+00,3.396845e+00,1.521350e+00,2.272841e-01,4.588783e-03,-3.193183e-02
2.253803e-02,4.056845e+00,3.958313e+00,2.025906e+00,2.793936e-01,7.556874e-03,-4.963717e-02
2.612302e-02,4.702144e+00,4.548427e+00,2.603341e+00,3.340871e-01,1.179410e-02,-7.333542e-02
2.996875e-02,5.394374e+00,5.160270e+00,3.234190e+00,3.903610e-01,1.757699e-02,-1.034190e-01
3.407417e-02,6.133351e+00,5.785918e+00,3.891509e+00,4.474149e-01,2.517038e-02,-1.397593e-01
3.843820e-02,6.918876e+00,6.416852e+00,4.544240e+00,5.046563e-01,3.481432e-02,-1.816740e-01
4.305966e-02,7.750740e+00,7.044479e+00,5.161413e+00,5.616524e-01,4.671301e-02,-2.279962e-01
4.793732e-02,8.628718e+00,7.660679e+00,5.716090e+00,6.180546e-01,6.102537e-02,-2.772235e-01
5.306987e-02,9.552577e+00,8.258289e+00,6.188142e+00,6.735224e-01,7.785662e-02,-3.277093e-01
5.845593e-02,1.052207e+01,8.831439e+00,6.565448e+00,7.276724e-01,9.725066e-02,-3.778518e-01
6.409407e-02,1.153693e+01,9.375738e+00,6.843657e+00,7.800621e-01,1.191838e-01,-4.262450e-01
6.998278e-02,1.259690e+01,9.888283e+00,7.024937e+00,8.302082e-01,1.435606e-01,-4.717732e-01
7.612047e-02,1.370168e+01,1.036754e+01,7.116253e+00,8.776295e-01,1.702136e-01,-5.136468e-01
8.250550e-02,1.485099e+01,1.081316e+01,7.127627e+00,9.218955e-01,1.989073e-01,-5.513900e-01
8.913618e-02,1.604451e+01,1.122571e+01,7.070630e+00,9.626667e-01,2.293464e-01,-5.847976e-01
9.601071e-02,1.728193e+01,1.160644e+01,6.957225e+00,9.997170e-01,2.611876e-01,-6.138753e-01
1.031273e-01,1.856291e+01,1.195709e+01,6.798970e+00,1.032940e+00,2.940533e-01,-6.387800e-01
1.104839e-01,1.988711e+01,1.227966e+01,6.606511e+00,1.062337e+00,3.275465e-01,-6.597644e-01
1.180787e-01,2.125417e+01,1.257630e+01,6.389310e+00,1.087998e+00,3.612647e-01,-6.771329e-01
1.259097e-01,2.266374e+01,1.284920e+01,6.155530e+00,1.110080e+00,3.948129e-01,-6.912082e-01
1.339746e-01,2.411543e+01,1.310049e+01,5.912026e+00,1.128786e+00,4.278148e-01,-7.023102e-01
1.422714e-01,2.560885e+01,1.333227e+01,5.664396e+00,1.144350e+00,4.599224e-01,-7.107434e-01
1.507978e-01,2.714361e+01,1.354648e+01,5.417094e+00,1.157021e+00,4.908216e-01,-7.167909e-01
1.595516e-01,2.871929e+01,1.374496e+01,5.173584e+00,1.167050e+00,5.202349e-01,-7.207146e-01
1.685304e-01,3.033547e+01,1.392941e+01,4.936537e+00,1.174679e+00,5.479214e-01,-7.227576e-01
1.777318e-01,3.199172e+01,1.410136e+01,4.707982e+00,1.180132e+00,5.736784e-01,-7.231419e-01
1.871533e-01,3.368760e+01,1.426218e+01,4.489365e+00,1.183616e+00,5.973448e-01,-7.220615e-01
1.967925e-01,3.542264e+01,1.441314e+01,4.281599e+00,1.185311e+00,6.188020e-01,-7.196829e-01
2.066467e-01,3.719640e+01,1.455535e+01,4.085148e+00,1.185346e+00,6.379750e-01,-7.161533e-01
2.167133e-01,3.900839e+01,1.468986e+01,3.900116e+00,1.183791e+00,6.548299e-01,-7.116035e-01
2.269895e-01,4.085812e+01,1.481758e+01,3.726344e+00,1.180688e+00,6.693695e-01,-7.061477e-01
2.374728e-01,4.274510e+01,1.493931e+01,3.563479e+00,1.176094e+00,6.816259e-01,-6.998839e-01
2.481602e-01,4.466883e+01,1.505578e+01,3.410998e+00,1.170088e+00,6.916580e-01,-6.928953e-01
2.590489e-01,4.662880e+01,1.516761e+01,3.268282e+00,1.162729e+00,6.995484e-01,-6.852567e-01
2.701359e-01,4.862447e+01,1.527538e+01,3.134723e+00,1.154023e+00,7.054020e-01,-6.770392e-01
2.814184e-01,5.065531e+01,1.537955e+01,3.009721e+00,1.143952e+00,7.093399e-01,-6.683077e-01
2.928932e-01,5.272078e+01,1.548056e+01,2.892662e+00,1.132528e+00,7.114925e-01,-6.591178e-01
3.045574e-01,5.482033e+01,1.557873e+01,2.782907e+00,1.119787e+00,7.119940e-01,-6.495114e-01
3.164077e-01,5.695339e+01,1.567437e+01,2.679814e+00,1.105788e+00,7.109788e-01,-6.395151e-01
3.284410e-01,5.911939e+01,1.576773e+01,2.582847e+00,1.090609e+00,7.085789e-01,-6.291533e-01
3.406542e-01,6.131775e+01,1.585901e+01,2.491590e+00,1.074358e+00,7.049245e-01,-6.184558e-01
3.530438e-01,6.354789e+01,1.594839e+01,2.405637e+00,1.057168e+00,7.001449e-01,-6.074526e-01
3.656067e-01,6.580921e+01,1.603600e+01,2.324538e+00,1.039141e+00,6.943673e-01,-5.961655e-01
3.783394e-01,6.810110e+01,1.612200e+01,2.247825e+00,1.020337e+00,6.877128e-01,-5.846099e-01
3.912386e-01,7.042294e+01,1.620648e+01,2.175027e+00,1.000851e+00,6.802924e-01,-5.728030e-01
4.043007e-01,7.277413e+01,1.628956e+01,2.105683e+00,9.808222e-01,6.722029e-01,-5.607571e-01
4.175223e-01,7.515401e+01,1.637133e+01,2.039434e+00,9.603936e-01,6.635253e-01,-5.484826e-01
4.308999e-01,7.756197e+01,1.645183e+01,1.976039e+00,9.396805e-01,6.543288e-01,-5.359964e-01
4.444298e-01,7.999736e+01,1.653112e+01,1.915289e+00,9.187780e-01,6.446796e-01,-5.233162e-01
4.581084e-01,8.245952e+01,1.660922e+01,1.856970e+00,8.977480e-01,6.346432e-01,-5.104519e-01
4.719321e-01,8.494779e+01,1.668614e+01,1.800861e+00,8.766047e-01,6.242833e-01,-4.974089e-01
4.858973e-01,8.746151e+01,1.676190e+01,1.746721e+00,8.553588e-01,6.136627e-01,-4.841951e-01
5.000000e-01,9.000000e+01,1.683652e+01,1.694306e+00,8.340367e-01,6.028469e-01,-4.708164e-01
5.142366e-01,9.256259e+01,1.691000e+01,1.643414e+00,8.126792e-01,5.919026e-01,-4.572771e-01
5.286033e-01,9.514859e+01,1.698233e+01,1.593901e+00,7.913338e-01,5.808897e-01,-4.435926e-01
5.430961e-01,9.775730e+01,1.705350e+01,1.545624e+00,7.700474e-01,5.698614e-01,-4.297832e-01
5.577113e-01,1.003880e+02,1.712346e+01,1.498415e+00,7.488521e-01,5.588697e-01,-4.158586e-01
5.724449e-01,1.030401e+02,1.719220e+01,1.452102e+00,7.277724e-01,5.479659e-01,-4.018149e-01
5.872930e-01,1.057127e+02,1.725969e+01,1.406545e+00,7.068331e-01,5.371965e-01,-3.876466e-01
6.022515e-01,1.084053e+02,1.732589e+01,1.361670e+00,6.860613e-01,5.266017e-01,-3.733568e-01
6.173166e-01,1.111170e+02,1.739075e+01,1.317432e+00,6.655091e-01,5.162160e-01,-3.589525e-01
6.324841e-01,1.138471e+02,1.745419e+01,1.273790e+00,6.452509e-01,5.060675e-01,-3.444445e-01
6.477500e-01,1.165950e+02,1.751616e+01,1.230761e+00,6.253581e-01,4.961786e-01,-3.298507e-01
6.631101e-01,1.193598e+02,1.757656e+01,1.188433e+00,6.058859e-01,4.865685e-01,-3.151880e-01
6.785605e-01,1.221409e+02,1.763529e+01,1.146902e+00,5.868659e-01,4.772586e-01,-3.004668e-01
6.940970e-01,1.249375e+02,1.769223e+01,1.106223e+00,5.683535e-01,4.682727e-01,-2.856953e-01
7.097153e-01,1.277488e+02,1.774726e+01,1.066430e+00,5.504341e-01,4.596339e-01,-2.708793e-01
7.254114e-01,1.305740e+02,1.780028e+01,1.027545e+00,5.331565e-01,4.513653e-01,-2.560214e-01
7.411810e-01,1.334126e+02,1.785117e+01,9.895983e-01,5.165451e-01,4.434888e-01,-2.411200e-01
7.570198e-01,1.362636e+02,1.789985e+01,9.526795e-01,5.006352e-01,4.360239e-01,-2.261729e-01
7.729237e-01,1.391263e+02,1.794619e+01,9.169137e-01,4.854746e-01,4.289875e-01,-2.111832e-01
7.888884e-01,1.419999e+02,1.799007e+01,8.824341e-01,4.711219e-01,4.223949e-01,-1.961594e-01
8.049097e-01,1.448837e+02,1.803136e+01,8.494222e-01,4.576500e-01,4.162570e-01,-1.811129e-01
8.209831e-01,1.477770e+02,1.806991e+01,8.181165e-01,4.451364e-01,4.105792e-01,-1.660552e-01
8.371045e-01,1.506788e+02,1.810560e+01,7.887385e-01,4.336361e-01,4.053646e-01,-1.509955e-01
8.532695e-01,1.535885e+02,1.813828e+01,7.614582e-01,4.231706e-01,4.006198e-01,-1.359355e-01
8.694738e-01,1.565053e+02,1.816784e+01,7.364263e-01,4.137376e-01,3.963556e-01,-1.208700e-01
8.857130e-01,1.594283e+02,1.819417e+01,7.137870e-01,4.053331e-01,3.925825e-01,-1.057910e-01
9.019829e-01,1.623569e+02,1.821719e+01,6.936902e-01,3.979666e-01,3.893080e-01,-9.069417e-02
9.182789e-01,1.652902e+02,1.823681e+01,6.763025e-01,3.916582e-01,3.865355e-01,-7.558271e-02
9.345969e-01,1.682274e+02,1.825295e+01,6.618023e-01,3.864397e-01,3.842666e-01,-6.046386e-02
9.509323e-01,1.711678e+02,1.826557e+01,6.503519e-01,3.823511e-01,3.825023e-01,-4.534344e-02
9.672809e-01,1.741106e+02,1.827462e+01,6.420831e-01,3.794261e-01,3.812433e-01,-3.022477e-02
9.836383e-01,1.770549e+02,1.828006e+01,6.370881e-01,3.776739e-01,3.804887e-01,-1.511028e-02
1.000000e+00,1.800000e+02,1.828188e+01,6.354173e-01,3.770905e-01,3.802374e-01,0.000000e+00
